id,id,cause_of_death,region_origin,affected_nationality,missing,dead,incident_region,date,source,reliability,lat,lon,nationalities,causes
43,43,Drowning,Sub-Saharan Africa,Guinean,0.0,1.0,Mediterranean,2015-10-26,AFP,Partially Verified,35.88383695,-5.31757345,['Guinea'],['Drowning/Asphyxiation']
45,45,Drowning,Unknown,Unknown,0.0,43.0,Mediterranean,2015-10-25,Disaster Alert Network,Verified,32.5051,14.5102,['Unknown'],['Drowning/Asphyxiation']
46,46,Presumed drowning,Middle East / South Asia,Unknown,1.0,4.0,Mediterranean,2015-10-21,WWNT Radio,Partially Verified,39.27406857,26.38001018,['Unknown'],['Drowning/Asphyxiation']
47,47,Drowning,Middle East / South Asia,Unknown,1.0,2.0,Mediterranean,2015-10-22,Hurriyet Daily News,Partially Verified,39.3192,26.60176279,['Unknown'],['Drowning/Asphyxiation']
48,48,Drowning,Unknown,Unknown,0.0,6.0,Mediterranean,2015-10-22,Huffington Post,Partially Verified,32.75,13.7167,['Unknown'],['Drowning/Asphyxiation']
49,49,Drowning,MENA,Unknown,11.0,12.0,Mediterranean,2015-10-22,Hurriyet Daily News,Verified,39.41074434,26.58690625,['Unknown'],['Drowning/Asphyxiation']
50,50,Drowning,Sub-Saharan Africa,Senegal,1.0,1.0,Mediterranean,2015-10-21,Desalambre,Partially Verified,35.8894,-5.32135,['Senegal'],['Drowning/Asphyxiation']
53,53,,South East Asia,Unknown,0.0,24.0,Southeast Asia,2015-08-23,"BBC, UNHCR",Verified,6.44491,100.205,['Unknown'],['Unknown']
56,56,Drowning,MENA,Syrian,1.0,4.0,Mediterranean,2015-10-19,IOM Greece,Verified,36.1495,29.5934,['Syria'],['Drowning/Asphyxiation']
57,57,,Middle East / South Asia,Unknown,0.0,1.0,Mediterranean,2015-10-18,Hellenic Coast Guard via IOM Greece,Verified,37.2954,27.1127,['Unknown'],['Unknown']
59,59,Drowning,Middle East,Iraqi,3.0,4.0,Mediterranean,2015-10-17,Hellenic Coast Guard via IOM Greece,Verified,36.9523,26.9808,['Iraq'],['Drowning/Asphyxiation']
61,61,Drowning,MENA,"Afghanistan, Syria",0.0,13.0,Mediterranean,2015-10-16,Turkish Coast Guard via IOM Turkey,Partially Verified,39.4162,26.4074,"['Afghanistan', 'Syria']",['Drowning/Asphyxiation']
62,62,Presumed drowning,Middle East / South Asia,Unknown,1.0,7.0,Mediterranean,2015-10-15,IOM Greece,Verified,39.2889504,26.38824993,['Unknown'],['Drowning/Asphyxiation']
63,63,Hit by vehicle,MENA,Syrian,0.0,1.0,Europe,2015-10-15,AFP,Partially Verified,50.9342,1.78665,['Syria'],['Vehicular/Mechanical']
64,64,Hit by train,Unknown,Unknown,0.0,1.0,Europe,2015-10-15,Reuters,Partially Verified,50.9364,1.79995,['Unknown'],['Vehicular/Mechanical']
65,65,Shot,MENA,Afghanistan,0.0,1.0,Europe,2015-10-15,BBC,Partially Verified,42.3452,27.1813,['Afghanistan'],['Violence/Homicide']
66,66,Drowning,Unknown,Syria,0.0,3.0,Mediterranean,2015-10-14,Reuters,Partially Verified,39.2772578,26.38550335,['Syria'],['Drowning/Asphyxiation']
67,67,Presumed drowning,Unknown,Unknown,0.0,1.0,Mediterranean,2015-10-05,IOM Greece,Verified,36.8893,27.1828,['Unknown'],['Drowning/Asphyxiation']
68,68,Shot,Central America & Mexico,Unknown,0.0,1.0,Central America & Mexico,2015-10-05,Agenda Tlaxcala,Partially Verified,19.408,-98.052,['Unknown'],['Violence/Homicide']
69,69,Presumed drowning,Middle East,Iraq,0.0,2.0,Mediterranean,2015-10-03,IOM Greece,Verified,36.8915,27.2877,['Iraq'],['Drowning/Asphyxiation']
70,70,Drowning,Middle East,Lebanese,2.0,7.0,Mediterranean,2015-10-14,AP,Partially Verified,37.77941392,26.35340986,['Lebanon'],['Drowning/Asphyxiation']
71,71,Vehicle accident,Horn of Africa,Ethiopia,0.0,8.0,Horn of Africa,2015-10-12,Horseed Media,Partially Verified,9.5116,49.0868,['Ethiopia'],['Vehicular/Mechanical']
72,72,Drowning,MENA,"Syrian, Egyptian, other African",0.0,11.0,Mediterranean,2015-10-10,IOM and Daily Star,Verified,31.5548,31.0911,"['Egypt', 'Syria']",['Drowning/Asphyxiation']
73,73,Drowning,MENA,Syria,0.0,1.0,Mediterranean,2015-10-09,IOM Athens and Reuters,Verified,39.28416729999999,26.38550335,['Syria'],['Drowning/Asphyxiation']
74,74,Drowning,Sub-Saharan Africa,"Cameroon, Guinea",0.0,2.0,Mediterranean,2015-10-09,StateWatch.org,Verified,35.9402,-5.4451,"['Cameroon', 'Guinea']",['Drowning/Asphyxiation']
75,75,Vehicle accident,Caribbean,Haitian,0.0,3.0,Caribbean,2015-10-08,Yahoo! News,Partially Verified,18.6046,-70.1862,['Haiti'],['Vehicular/Mechanical']
76,76,Vehicle accident,Unknown,Unknown,0.0,1.0,Europe,2015-10-05,Independent.mk,Unverified,42.3092,21.6499,['Unknown'],['Vehicular/Mechanical']
77,77,Presumed drowning,Unknown,Unknown,0.0,2.0,Mediterranean,2015-10-04,"Reuters, SBS",Verified,36.8915,27.2877,['Unknown'],['Drowning/Asphyxiation']
78,78,Drowning,Unknown,Unknown,0.0,95.0,Mediterranean,2015-10-01,Times of Israel,Partially Verified,32.7873,12.7826,['Unknown'],['Drowning/Asphyxiation']
79,79,Hit by train,Horn of Africa,Eritrea,0.0,1.0,Europe,2015-09-30,CNN,Partially Verified,50.9171,1.79277,['Eritrea'],['Vehicular/Mechanical']
82,82,drowning,South Asia,Afghan,0.0,2.0,Mediterranean,2015-09-30,IOM Greece,Verified,39.3346,26.4755,['Afghanistan'],['Drowning/Asphyxiation']
83,83,,South America,Ecuadorian,0.0,3.0,Central America & Mexico,2015-09-30,El Universo,Partially Verified,19.1738,-96.1342,['Ecuador'],['Unknown']
85,85,Hi by truck,Middle East / South Asia,Iraqi,0.0,1.0,Europe,2015-09-29,BBC,Partially Verified,50.9513,1.8586900000000002,['Iraq'],['Vehicular/Mechanical']
86,86,Drowning,MENA,Syria,5.0,1.0,Mediterranean,2015-09-29,Hurriyet Daily News,Partially Verified,40.6765414,25.94885313,['Syria'],['Drowning/Asphyxiation']
87,87,Crushed to death,Middle East / South Asia,Iraqi,0.0,1.0,Europe,2015-09-29,BBC,Partially Verified,50.9513,1.8586900000000002,['Iraq'],['Vehicular/Mechanical']
89,89,Drowning,MENA,"Mostly from Syria, possibly some from Iraq",0.0,17.0,Mediterranean,2015-09-27,Hurriyet Daily News,Partially Verified,37.01356685,27.181960399999998,"['Iraq', 'Syria']",['Drowning/Asphyxiation']
91,91,Presumed drowning,Middle East / South Asia,Unknown,0.0,1.0,Mediterranean,2015-09-24,Hellenic Coast Guard via IOM Greece,Verified,37.4667,26.9667,['Unknown'],['Drowning/Asphyxiation']
92,92,Hit by train,Horn of Africa,Likely Eritrea,0.0,1.0,Europe,2015-09-24,BBC,Partially Verified,50.9232,1.78285,['Eritrea'],['Vehicular/Mechanical']
94,94,Presumed drowning,Middle East / South Asia,Unknown,0.0,1.0,Mediterranean,2015-09-23,IOM Greece,Verified,39.3671,26.1751,['Unknown'],['Drowning/Asphyxiation']
95,95,Presumed drowning,Middle East / South Asia,Unknown,0.0,1.0,Mediterranean,2015-09-22,IOM Greece/AFP,Partially Verified,39.3824,26.4864,['Unknown'],['Drowning/Asphyxiation']
97,97,Drowning,Middle East,Syrian Kurds,24.0,2.0,Mediterranean,2015-09-20,IOM Greece,Verified,39.4196,26.4507,['Syria'],['Drowning/Asphyxiation']
98,98,Drowning,Middle East / South Asia,Unknown,2.0,0.0,Mediterranean,2015-09-20,Coast Guard Command,Verified,39.2357,26.665,['Unknown'],['Drowning/Asphyxiation']
100,100,Drowning. Boat collided with ferry,Middle East / South Asia,Unknown,13.0,13.0,Mediterranean,2015-09-20,IOM/Coast Guard Command/Indian Express,Partially Verified,39.44556183,26.04287441,['Unknown'],['Drowning/Asphyxiation']
101,101,Fell from train,Central America & Mexico,Unknown,0.0,1.0,Central America & Mexico,2015-09-20,Red-accion,Partially Verified,19.7098,-98.9715,['Unknown'],['Vehicular/Mechanical']
102,102,Drowning,Middle East,Syria,0.0,13.0,Mediterranean,2015-09-19,IOM Greece,Verified,39.3877,26.4315,['Syria'],['Drowning/Asphyxiation']
103,103,Drowning,MENA,Syrian,0.0,1.0,Mediterranean,2015-09-18,Anadolu Agency,Partially Verified,38.32860933,26.29358696,['Syria'],['Drowning/Asphyxiation']
104,104,Electrocution,Middle East / South Asia,Syria,0.0,1.0,Europe,2015-09-18,BBC,Partially Verified,50.9515,1.8457,['Syria'],['Vehicular/Mechanical']
105,105,,Sub-Saharan Africa,Nigerian,0.0,1.0,Mediterranean,2015-09-17,Migrant Offshore Aid Station (MOAS),Verified,33.7243,14.436,['Nigeria'],['Unknown']
106,106,Drowning,Middle East,"Reported as unspecified nationals of Syria, Afghanistan, Iraq, Iran",0.0,22.0,Mediterranean,2015-09-15,RTE News and Turkish Coast Guard,Verified,36.7191,27.3388,"['Afghanistan', 'Iran', 'Iraq', 'Syria']",['Drowning/Asphyxiation']
107,107,Drowning,MENA,Syrian,0.0,2.0,Mediterranean,2015-09-14,Hurriyet Daily News,Partially Verified,38.00701904,27.10185693,['Syria'],['Drowning/Asphyxiation']
108,108,Drowning,MENA,Syria,0.0,1.0,Mediterranean,2015-09-05,IOM Greece,Verified,37.5005,27.0791,['Syria'],['Drowning/Asphyxiation']
109,109,Hit by vehicle,Horn of Africa,Eritrea,0.0,1.0,Europe,2015-07-24,The Express,Partially Verified,50.1487,1.88965,['Eritrea'],['Vehicular/Mechanical']
111,111,Presumed drowning,Unknown,Unknown,0.0,10.0,Mediterranean,2015-05-02,BBC/CBC,Partially Verified,35.4607,14.4141,['Unknown'],['Drowning/Asphyxiation']
112,112,,South East Asia,Rohingya,0.0,36.0,Southeast Asia,2015-05-01,Arakan Project,Verified,7.189769999999999,100.595,['Myanmar (Burma)'],['Unknown']
113,113,"Unknown, torture involved",South East Asia,Myanmar,0.0,106.0,Southeast Asia,2015-05-25,BBC,Partially Verified,6.44491,100.5785352,['Myanmar (Burma)'],"['Violence/Homicide', 'Unknown']"
114,114,Train accident,MENA,Afghanistan,0.0,1.0,Europe,2015-04-24,Radio Free Europe,Partially Verified,41.5579,21.8188,['Afghanistan'],['Vehicular/Mechanical']
119,119,Drowning,Central America & Mexico,Unknown,0.0,1.0,U.S./Mexico Border,2015-04-21,Televisa,Partially Verified,27.49541266,-99.52264916,['Unknown'],['Drowning/Asphyxiation']
120,120,Drowning,Unknown,"Eritrea (2), Syria (1)",0.0,3.0,Mediterranean,2015-04-20,Reuters,Partially Verified,36.35278241,27.93825898,"['Eritrea', 'Syria']",['Drowning/Asphyxiation']
121,121,"Drowning, Asphyxiation",Unknown,"Syria, Somalia, Gambia, Ivory Coast, Mali, Tunisia, Sierra Leone, Bangladesh, Algeria, Egypt, Niger, Zambia, Ghana",0.0,750.0,Mediterranean,2015-04-18,IOM Italy,Verified,35.03,14.6777,"['Algeria', 'Bangladesh', ""Cote d'Ivoire"", 'Egypt', 'Gambia', 'Ghana', 'Niger', 'Sierra Leone', 'Somalia', 'Syria', 'Tunisia', 'Zambia']",['Drowning/Asphyxiation']
122,122,Burns from cooking gas explosion in connection house in Libya,Sub-Saharan Africa,Eritrea or Somalia,0.0,1.0,Mediterranean,2015-04-17,UNHCR,Verified,35.1738,17.2266,"['Eritrea', 'Somalia']",['Vehicular/Mechanical']
123,123,Drowning,Sub-Saharan Africa,"Survivors from Nigeria, Ghana, Niger",0.0,41.0,Mediterranean,2015-04-16,BBC and CBC,Partially Verified,35.7465,14.4141,"['Ghana', 'Nigeria']",['Drowning/Asphyxiation']
124,124,Drowning after being thrown overboard by other passengers,Sub-Saharan Africa,"Ghana, Nigeria",12.0,0.0,Mediterranean,2015-04-16,BBC and CBC,Partially Verified,34.8859,14.4141,"['Ghana', 'Nigeria']",['Drowning/Asphyxiation']
125,125,Drowning,Unknown,Unknown,391.0,9.0,Mediterranean,2015-04-13,Guardian,Partially Verified,36.1734,17.57260684,['Unknown'],['Drowning/Asphyxiation']
127,127,Drowning,East Asia,China,15.0,0.0,East Asia,2015-02-27,Jakarta Post,Partially Verified,22.2,113.667,['China'],['Drowning/Asphyxiation']
129,129,Drowning,Caribbean,Costa rica,3.0,0.0,Caribbean,2015-04-11,The Tico Times,Partially Verified,24.3471,-78.6237,['Costa Rica'],['Drowning/Asphyxiation']
130,130,Drowning,Unknown,"Survivors from Syria, Iraq, and Somalia",0.0,1.0,Mediterranean,2015-04-10,Reuters,Verified,35.4607,13.1396,"['Iraq', 'Somalia', 'Syria']",['Drowning/Asphyxiation']
131,131,Drowning,Horn of Africa,Somalia (1) Eritrea (1),0.0,2.0,Mediterranean,2015-04-10,Global Post,Partially Verified,32.2144,30.8706,"['Eritrea', 'Somalia']",['Drowning/Asphyxiation']
132,132,Drowning,Caribbean,Haiti,19.0,21.0,Caribbean,2015-04-09,IN. com,Partially Verified,18.9251,-72.7247,['Haiti'],['Drowning/Asphyxiation']
133,133,Drowning,MENA,"Syria, Iraq",4.0,7.0,Mediterranean,2015-04-06,SALON,Partially Verified,36.7171,27.7259,"['Iraq', 'Syria']",['Drowning/Asphyxiation']
135,135,Drowning,Central America,Mexican,0.0,1.0,U.S./Mexico Border,2015-04-13,Televisa,Partially Verified,29.1761,-103.69200000000001,['Mexico'],['Drowning/Asphyxiation']
136,136,Drowning,Caribbean,Cuba or Dominican Republic,0.0,1.0,Caribbean,2015-04-03,Caribbean News Now,Partially Verified,18.1354,-67.7856,"['Cuba', 'Dominican Republic']",['Drowning/Asphyxiation']
141,141,Drowning,Sub-Saharan Africa,"1 Nigerian, others unknown. Survivors all from Sub-Saharan Africa",0.0,3.0,Mediterranean,2015-03-19,IOM Tunisa,Verified,33.7123,11.4474,['Nigeria'],['Drowning/Asphyxiation']
143,143,Drowning,MENA,"Syria, Iraq",3.0,5.0,Mediterranean,2015-03-17,IOM Turkey,Verified,37.02007328,27.40131626,"['Iraq', 'Syria']",['Drowning/Asphyxiation']
144,144,Train accident,Central America & Mexico,Honduras,0.0,6.0,Central America & Mexico,2015-03-17,South China Morning Post,Partially Verified,18.0623,-93.5596,['Honduras'],['Vehicular/Mechanical']
145,145,Drowning,Unknown,Unknown,8.0,4.0,North Africa,2015-03-11,Departamento 19,Partially Verified,27.9202,-15.5474,['Unknown'],['Drowning/Asphyxiation']
146,146,Hypothermia,MENA,Ethnic Yazidis (Iraq),0.0,2.0,Middle East,2015-03-10,BGN news,Partially Verified,41.7713,26.9385,['Iraq'],['Exposure']
147,147,Drowning,Horn of Africa,Unknown,0.0,42.0,Horn of Africa,2015-03-09,The Washington Post,Partially Verified,13.5819,49.4824,['Unknown'],['Drowning/Asphyxiation']
148,148,Drowning,Unknown,Unknown,0.0,4.0,North Africa,2015-03-08,ANSA Med,Verified,29.5145,-12.7687,['Unknown'],['Drowning/Asphyxiation']
150,150,Drowning,Unknown,"Eritrea, Sudan",40.0,10.0,Mediterranean,2015-03-03,IOM Rome,Verified,36.0313,13.3594,"['Eritrea', 'Sudan']",['Drowning/Asphyxiation']
151,151,Drowning,Central America & Mexico,Unknown,0.0,1.0,Central America & Mexico,2015-03-09,SinEmbargo,Partially Verified,17.4987,-91.9804,['Unknown'],['Drowning/Asphyxiation']
156,156,"Unclear, possibly related to earlier beating by truck driver",Horn of Africa,Ethiopian,0.0,1.0,Europe,2015-02-14,Calais Migrant Solidarity,Verified,50.9513,1.8586900000000002,['Ethiopia'],"['Vehicular/Mechanical', 'Violence/Homicide']"
157,157,Drowning,Sub-Saharan Africa,"Senegal, Ivory Coast, Gambia, Guinea, Niger, Mali and Mauritania",103.0,0.0,Mediterranean,2015-02-09,IOM Rome,Verified,34.2935,12.6672,"[""Cote d'Ivoire"", 'Gambia', 'Guinea', 'Mali', 'Mauritania', 'Niger', 'Senegal']",['Drowning/Asphyxiation']
158,158,Drowning,Sub-Saharan Africa,"Senegal, Ivory Coast, Gambia, Guinea, Niger, Mali and Mauritania",100.0,0.0,Mediterranean,2015-02-09,IOM Rome,Verified,34.3616,12.9858,"[""Cote d'Ivoire"", 'Gambia', 'Guinea', 'Mali', 'Mauritania', 'Niger', 'Senegal']",['Drowning/Asphyxiation']
159,159,Drowning,Sub-Saharan Africa,"Senegal, Ivory Coast, Gambia, Guinea, Niger, Mali and Mauritania",104.0,0.0,Mediterranean,2015-02-09,IOM Rome,Verified,34.3797,12.8101,"[""Cote d'Ivoire"", 'Gambia', 'Guinea', 'Mali', 'Mauritania', 'Niger', 'Senegal']",['Drowning/Asphyxiation']
160,160,Hypothermia,Sub-Saharan Africa,"Ivory Coast (15), Mali (7), Senegal (5), Guinea (1), Mauritania (1)",0.0,29.0,Mediterranean,2015-02-08,IOM Rome,Verified,34.579,12.4365,"[""Cote d'Ivoire"", 'Guinea', 'Mali', 'Mauritania', 'Senegal']",['Exposure']
161,161,Drowning,MENA,Iran and Iraq,2.0,7.0,Mediterranean,2015-02-07,MENAFN - Khaleej Times,Partially Verified,36.59079898,28.24872051,"['Iran', 'Iraq']",['Drowning/Asphyxiation']
164,164,Drowning,Horn of Africa,Unknown,0.0,3.0,Horn of Africa,2015-02-02,IOM Yemen,Verified,12.5331,47.9224,['Unknown'],['Drowning/Asphyxiation']
165,165,Drowning,Horn of Africa,Ethiopia and Somalia,33.0,3.0,Horn of Africa,2015-02-02,IOM Yemen,Verified,12.8994,43.3632,"['Ethiopia', 'Somalia']",['Drowning/Asphyxiation']
167,167,Drowning,Sub-Saharan Africa,Guinea Conakry,2.0,8.0,Mediterranean,2015-01-30,AP,Partially Verified,35.4043,-2.86119,['Guinea'],['Drowning/Asphyxiation']
168,168,Drowning,South East Asia,Bangladesh,49.0,8.0,Southeast Asia,2015-01-29,Xinhaunet,Partially Verified,16.4181,89.605,['Bangladesh'],['Drowning/Asphyxiation']
169,169,,Caribbean,Haiti,0.0,1.0,Caribbean,2015-01-28,Haiti Press Network,Partially Verified,19.7648,-71.4299,['Haiti'],['Unknown']
173,173,,Sub-Saharan Africa,"Survivors from Burkina Faso, Malia, Guinea, and the Ivory Coast",20.0,1.0,Mediterranean,2015-01-22,Times of Malta,Partially Verified,35.913000000000004,14.1659,"['Burkina Faso', ""Cote d'Ivoire"", 'Guinea', 'Mali']",['Unknown']
174,174,Drowning,Unknown,Reported as unspecified nationals of Africa,36.0,9.0,Mediterranean,2015-01-16,Almanar News,Partially Verified,32.6102,14.5323,['Unknown'],['Drowning/Asphyxiation']
175,175,Severe exhaustion and dehydration,South East Asia,Ethnic Rohingya,0.0,2.0,Southeast Asia,2015-01-14,Mizzima,Partially Verified,8.04445,100.28399999999999,['Myanmar (Burma)'],['Exposure']
176,176,Beating/shot by traffickers,South East Asia,Ethnic Rohingya,0.0,1.0,Southeast Asia,2015-01-11,Reuters,Partially Verified,8.04445,100.28399999999999,['Myanmar (Burma)'],['Violence/Homicide']
180,180,Drowning,Sub-Saharan Africa,Zimbabwe,0.0,2.0,Sub-Saharan Africa,2015-01-07,TNA Media,Partially Verified,-22.169,29.81,['Zimbabwe'],['Drowning/Asphyxiation']
183,183,Drowning,Caribbean,Cuba,0.0,1.0,Caribbean,2015-01-03,Cayman Compass,Partially Verified,19.2347,-81.3881,['Cuba'],['Drowning/Asphyxiation']
184,184,,Horn of Africa,Reported as unspecified nationals of Horn of Africa,0.0,1.0,Horn of Africa,2015-01-01,IOM Yemen,Verified,13.5697,44.0146,['Unknown'],['Unknown']
185,185,,Horn of Africa,Reported as unspecified nationals of the Horn of Africa,0.0,1.0,Horn of Africa,2015-01-01,IOM Yemen,Verified,13.149000000000001,44.8505,['Unknown'],['Unknown']
188,188,Shot,Horn of Africa,Ethiopian,0.0,1.0,Horn of Africa,2015-01-01,Regional Mixed Migration Secretariat,Verified,10.9196,41.9266,['Ethiopia'],['Violence/Homicide']
189,189,Starvation,Horn of Africa,Somalia,0.0,2.0,Horn of Africa,2015-01-01,Regional Mixed Migration Secretariat,Verified,11.9647,43.2884,['Somalia'],['Exposure']
193,193,Drowning,MENA,Syrian Arab Republic,9.0,0.0,Mediterranean,2014-12-29,IOM Turkey via TCGC,Verified,36.99930035,27.36417998,['Syria'],['Drowning/Asphyxiation']
194,194,Drowning,MENA,Syrian Arab Republic,0.0,2.0,Mediterranean,2014-12-28,Saudi Press Agency,Partially Verified,39.9771,19.0503,['Syria'],['Drowning/Asphyxiation']
195,195,,Unknown,Unknown,30.0,0.0,Mediterranean,2014-12-24,IOM Rome,Verified,34.3071,16.6113,['Unknown'],['Unknown']
196,196,Drowning,Unknown,Unknown,0.0,5.0,Mediterranean,2014-12-23,ANSA English,Partially Verified,34.8138,13.7109,['Unknown'],['Drowning/Asphyxiation']
197,197,Drowning,Unknown,Unknown,0.0,9.0,Mediterranean,2014-12-19,Reuters,Partially Verified,35.8468,-5.80353,['Unknown'],['Drowning/Asphyxiation']
198,198,Drowning,Caribbean,Cuba,0.0,1.0,Caribbean,2014-12-16,Miami Herald,Partially Verified,23.6445,-80.2881,['Cuba'],['Drowning/Asphyxiation']
